Instance, N, M, density %, max_deg, mean_deg, sd_deg, n_neg %, n_zero %, n_pos %, max_precision, mean_w, sd_w,interesting,toroidal
g000469,5911,6856760,39.255,2320.000,2320.000,0.000,12.647,1,86.087,2,30.383,20.908,1,
g000470,6153,7654152,40.441,2621.000,2487.941,38.407,0.000,0,100.000,16,0.025,0.025,1,
g000471,160,12720,100.000,159.000,159.000,0.000,0.000,0,100.000,3,149.392,61.254,1,
g000472,320,480,0.940,10.000,3.000,1.636,0.000,0,100.000,3,109.362,30.624,1,
g000473,640,40896,20.000,173.000,127.800,10.484,0.000,0,100.000,3,149.520,61.328,1,
g000474,3375,10125,0.178,6.000,6.000,0.000,49.995,0,50.005,1,1.000,0.000,1,
g000475,537,723,0.502,4.000,2.693,0.782,0.000,0,100.000,2,5.795,4.178,1,
g000476,8000,64177,0.201,32.000,16.044,4.045,0.000,0,100.000,1,2.343,1.252,1,
g000479,590,56049,32.257,589.000,189.997,171.638,0.000,0,100.000,16,33.039,19.054,1,
g000480,80,3160,100.000,79.000,79.000,0.000,0.000,0,100.000,3,114.625,37.373,1,
g000481,250,31125,100.000,249.000,249.000,0.000,19.097,61,19.582,6,538.296,6387.212,1,
g000482,13963,15315,0.016,4.000,2.194,0.685,0.000,0,100.000,4,667.185,399.812,1,
g000483,671,2030,0.903,17.000,6.051,2.488,0.000,0,100.000,1,5.000,0.000,1,
g000484,682,1364,0.587,4.000,4.000,0.000,0.000,0,100.000,12,10.767,2.626,1,1
g000486,3690,8164,0.120,200.000,4.425,6.476,0.000,0,100.000,12,5.212,0.494,1,
g000487,640,4135,2.022,27.000,12.922,3.676,0.000,0,100.000,3,102.394,17.459,1,
g000488,100,2475,50.000,62.000,49.500,5.353,47.273,4,47.960,2,5.325,3.066,,
g000489,826,91608,26.886,825.000,221.811,235.015,0.000,0,100.000,13,1.726,0.218,1,
g000490,595,26754,15.140,594.000,89.929,143.880,0.000,0,100.000,12,57.534,14.521,1,
g000491,3114,233139,4.810,316.000,149.736,65.834,0.000,0,100.000,2,40.020,18.746,1,
g000492,982,221200,45.923,869.000,450.509,168.157,0.000,0,100.000,12,1.416,0.647,1,
g000493,2928,1291248,30.133,943.000,882.000,18.179,0.000,0,100.000,16,0.250,0.144,1,
g000494,98,134,2.819,4.000,2.735,0.887,0.000,0,100.000,7,735803.239,616273.693,1,
g000495,5438,3151321,21.317,1159.000,1159.000,0.000,0.000,0,100.000,2,10.000,0.000,1,
g000496,197,3925,20.330,121.000,39.848,30.996,0.000,0,100.000,1,1.000,0.000,,
g000497,2048,11263,0.537,11.000,10.999,0.031,0.000,0,100.000,1,1.238,0.443,,
g000498,640,40896,20.000,164.000,127.800,10.070,0.000,0,100.000,3,102.253,17.254,1,
g000499,450,8169,8.086,94.000,36.307,16.352,0.000,0,100.000,1,1.000,0.000,1,
g000500,666,221445,100.000,665.000,665.000,0.000,0.000,0,100.000,5,7656.493,4443.214,,
g000501,100,2475,50.000,59.000,49.500,5.125,0.000,0,100.000,1,1.000,0.000,,
g000502,926,211128,49.297,456.000,456.000,0.000,34.528,0,65.472,16,7.114,4.654,1,
g000503,5046,5695279,44.744,2382.000,2257.344,34.807,0.000,0,100.000,16,28.995,16.737,1,
g000504,250,3183,10.227,38.000,25.464,4.611,50.581,0,49.419,3,49.753,28.157,1,
g000505,40,240,30.769,12.000,12.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000506,2020,244,0.012,10.000,0.242,0.558,44.262,0,55.738,14,26.001,19.048,1,
g000507,35,315,52.941,18.000,18.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000508,19100,35653,0.020,4.000,3.733,0.447,0.000,0,100.000,3,58.104,42.248,1,
g000509,838,1763,0.503,6.000,4.208,0.838,0.000,0,100.000,6,16798.254,37361.793,1,
g000510,2048,11263,0.537,11.000,10.999,0.031,0.000,0,100.000,3,129.288,44.400,,
g000511,160,240,1.887,9.000,3.000,1.581,0.000,0,100.000,3,116.933,38.501,1,
g000512,128,227,2.793,5.000,3.547,0.769,0.000,0,100.000,4,155.687,353.754,1,
g000513,2000,4000,0.200,4.000,4.000,0.000,50.375,0,49.625,1,1.000,0.000,1,1
g000514,2000,5753,0.288,14.000,5.753,6.000,0.000,0,100.000,5,1544.585,3175.337,1,
g000515,1000,8201,1.642,33.000,16.402,4.058,0.000,0,100.000,1,2.349,1.241,1,
g000516,2000,5754,0.288,14.000,5.754,6.002,0.000,0,100.000,6,1696.211,9235.860,1,
g000517,100,495,10.000,22.000,9.900,3.103,47.677,0,52.323,1,1.000,0.000,,
g000518,220,374,1.553,4.000,3.400,0.690,0.000,0,100.000,2,8.872,3.976,1,
g000519,189,353,1.987,6.000,3.735,0.857,0.000,0,100.000,4,195.637,388.791,1,
g000520,522,1054,0.775,5.000,4.038,0.563,0.000,0,100.000,6,14047.298,34721.897,1,
g000521,631,66149,33.280,216.000,209.664,1.345,0.000,0,100.000,16,0.012,0.012,1,
g000522,100,180,3.636,4.000,3.600,0.566,0.000,0,100.000,4,750.778,426.869,,
g000523,80,3160,100.000,79.000,79.000,0.000,0.000,0,100.000,3,114.539,37.340,1,
g000524,2218,336856,13.701,2217.000,303.748,517.760,38.860,0,61.140,16,39.196,29.597,1,
g000525,640,4135,2.022,24.000,12.922,3.341,0.000,0,100.000,3,108.095,28.903,1,
g000526,320,640,1.254,12.000,4.000,2.022,0.000,0,100.000,3,118.980,41.623,1,
g000527,100,4000,80.808,89.000,80.000,3.739,0.000,0,100.000,1,6.000,0.000,,
g000528,400,1500,1.880,17.000,7.500,2.664,0.000,0,100.000,4,5313.237,1903.105,1,
g000529,3738,7013,0.100,4.000,3.752,0.485,0.000,0,100.000,2,8.979,3.999,1,
g000530,800,19176,6.000,69.000,47.940,6.658,0.000,0,100.000,1,1.000,0.000,1,
g000531,437,838,0.880,11.000,3.835,0.915,0.000,0,100.000,6,12414.147,32947.703,1,
g000532,200,15677,78.779,173.000,156.770,5.638,50.341,0,49.659,2,25.707,14.438,1,
g000533,1000,9990,2.000,37.000,19.980,4.475,0.000,0,100.000,1,1.000,0.000,1,
g000534,543,107581,73.108,432.000,396.247,10.617,0.000,0,100.000,12,17.775,4.528,1,
g000536,702,16146,6.562,62.000,46.000,4.693,0.000,0,100.000,1,9.000,0.000,1,
g000538,23,71,28.063,11.000,6.174,1.926,0.000,0,100.000,1,1.000,0.000,,
g000539,2966,4956,0.113,115.000,3.342,4.743,2.401,0,97.599,15,11.735,5.575,1,
g000540,320,10208,20.000,87.000,63.800,7.143,0.000,0,100.000,3,109.793,31.371,1,
g000541,71,97,3.903,4.000,2.732,0.822,0.000,0,100.000,7,770435.670,648510.359,1,
g000543,64,192,9.524,6.000,6.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000544,200,5877,29.533,75.000,58.770,6.397,49.413,0,50.587,2,25.629,14.510,1,
g000545,2000,19990,1.000,38.000,19.990,4.539,0.000,0,100.000,1,1.000,0.000,1,
g000546,1294,1853,0.221,4.000,2.864,0.733,0.000,0,100.000,6,185713.092,147905.325,1,
g000547,671,1319,0.587,67.000,3.931,4.792,26.156,0,73.844,14,25.293,18.626,1,
g000548,160,320,2.516,13.000,4.000,1.978,0.000,0,100.000,3,117.203,39.417,1,
g000549,160,812,6.384,22.000,10.150,3.054,0.000,0,100.000,3,131.395,50.770,1,
g000550,80,160,5.063,7.000,4.000,1.782,0.000,0,100.000,3,152.244,59.928,1,
g000551,125,3891,50.206,75.000,62.256,5.282,0.000,0,100.000,1,1.000,0.000,,
g000552,640,204480,100.000,639.000,639.000,0.000,0.000,0,100.000,3,115.128,38.256,1,
g000553,4958,9916,0.081,4.000,4.000,0.000,0.000,0,100.000,12,38.465,17.791,1,1
g000554,1426,2852,0.281,4.000,4.000,0.000,0.000,0,100.000,12,61.556,15.377,1,1
g000555,80,3128,98.987,79.000,78.200,0.828,50.160,0,49.840,1,1.000,0.000,,
g000556,1160,2089,0.311,4.000,3.602,0.560,0.000,0,100.000,2,8.680,3.983,1,
g000557,772,1941,0.652,99.000,5.028,6.419,0.000,0,100.000,12,7.015,1.323,1,
g000558,150,3250,29.083,59.000,43.333,5.694,49.662,0,50.338,2,25.789,14.498,,
g000559,2623,714432,20.776,619.000,544.744,20.569,0.000,0,100.000,12,43.488,24.547,1,
g000560,770,249343,84.219,680.000,647.644,10.281,4.156,0,95.844,16,13.867,6.767,1,
g000561,859,333864,90.598,803.000,777.332,8.646,0.000,0,100.000,16,0.027,0.027,1,
g000562,941,373316,84.409,825.000,793.445,11.440,0.000,0,100.000,12,45.014,24.242,1,
g000563,1000,1250,0.250,10.000,2.500,1.583,0.000,0,100.000,2,5.302,2.828,1,
g000564,2762,4047,0.106,4.000,2.930,0.734,0.000,0,100.000,6,130259.826,107722.572,1,
g000565,160,2544,20.000,47.000,31.800,4.593,0.000,0,100.000,3,108.667,29.409,1,
g000566,2753,598470,15.799,502.000,434.777,18.896,46.319,0,53.681,16,22.731,17.181,1,
g000567,512,28089,21.472,136.000,109.723,8.805,0.000,0,100.000,14,0.572,0.175,1,
g000568,30,211,48.506,19.000,14.067,2.476,50.711,0,49.289,3,50.374,27.831,,
g000569,1568,599124,48.768,1564.000,764.189,405.798,0.000,0,100.000,16,0.013,0.013,1,
g000570,35,315,52.941,18.000,18.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000571,833,94129,27.163,254.000,226.000,9.083,45.641,0,54.359,15,31.710,23.927,1,
g000572,200,19900,100.000,199.000,199.000,0.000,45.985,8,45.704,6,768.607,7391.108,1,
g000573,679,103208,44.838,333.000,304.000,8.764,0.000,0,100.000,14,0.500,0.151,1,
g000574,160,2544,20.000,44.000,31.800,4.622,0.000,0,100.000,3,114.361,36.788,1,
g000575,640,1280,0.626,11.000,4.000,1.928,0.000,0,100.000,3,150.653,61.515,1,
g000576,53,80,5.806,4.000,3.019,0.566,0.000,0,100.000,3,63.300,45.900,1,
g000577,425,8688,9.643,346.000,40.885,64.277,0.000,0,100.000,1,1.000,0.000,,
g000578,97,4656,100.000,96.000,96.000,0.000,0.000,0,100.000,2,3.188,3.304,,
g000579,320,51040,100.000,319.000,319.000,0.000,0.000,0,100.000,3,120.747,43.784,1,
g000580,3756,2084580,29.561,1192.000,1110.000,21.444,50.036,0,49.964,16,4.997,2.886,1,
g000581,100,495,10.000,17.000,9.900,3.061,46.869,4,48.687,2,5.287,2.990,,
g000582,80,3160,100.000,79.000,79.000,0.000,0.000,0,100.000,3,149.494,61.048,1,
g000583,3740,2307580,33.003,1295.000,1234.000,20.848,0.000,0,100.000,14,0.533,0.125,1,
g000584,500,12500,10.020,66.000,50.000,4.623,0.000,0,100.000,12,37.802,21.999,1,
g000585,31,120,25.806,13.000,7.742,3.213,0.000,0,100.000,5,13837.858,10013.694,,
g000586,3809,966007,13.320,954.000,507.223,312.848,0.000,0,100.000,16,0.029,0.029,1,
g000587,120,5600,78.431,105.000,93.333,4.399,50.107,0,49.893,2,25.869,14.356,,
g000588,80,3160,100.000,79.000,79.000,0.000,0.000,0,100.000,3,149.409,60.890,1,
g000589,800,19176,6.000,70.000,47.940,6.648,50.417,0,49.583,1,1.000,0.000,1,
g000590,429,4588,4.997,38.000,21.389,6.016,0.000,0,100.000,12,73.329,17.700,1,
g000591,900,1800,0.445,4.000,4.000,0.000,0.000,0,100.000,2,40.439,22.808,1,1
g000592,1000,87209,17.459,654.000,174.418,104.734,0.000,0,100.000,16,0.029,0.029,1,
g000593,510,87975,67.780,345.000,345.000,0.000,0.000,0,100.000,12,1.592,1.066,1,
g000594,250,31125,100.000,249.000,249.000,0.000,19.431,61,19.149,6,537.899,6322.987,1,
g000595,640,40896,20.000,159.000,127.800,10.094,0.000,0,100.000,3,107.315,27.866,1,
g000596,640,4135,2.022,25.000,12.922,3.498,0.000,0,100.000,3,114.858,37.508,1,
g000597,2500,3125,0.100,12.000,2.500,1.572,0.000,0,100.000,2,5.564,2.815,1,
g000598,797,1705,0.538,84.000,4.279,5.314,17.478,0,82.522,15,4.178,3.290,1,
g000599,3037,431,0.009,11.000,0.284,0.654,13.457,0,86.543,1,1.000,0.000,1,
g000600,450,16750,16.580,138.000,74.444,21.213,0.000,0,100.000,1,1.000,0.000,,
g000601,696,188286,77.849,578.000,541.052,10.935,0.000,0,100.000,12,15.093,4.460,1,
g000602,160,12720,100.000,159.000,159.000,0.000,0.000,0,100.000,3,129.550,50.626,1,
g000604,40,240,30.769,12.000,12.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000605,640,960,0.469,11.000,3.000,1.694,0.000,0,100.000,3,101.576,15.523,1,
g000607,1000,160000,32.032,724.000,320.000,123.268,0.000,0,100.000,1,9.000,0.000,1,
g000609,896,146929,36.644,376.000,327.967,13.992,0.000,0,100.000,16,0.016,0.016,1,
g000610,957,1554,0.340,4.000,3.248,0.652,0.000,0,100.000,2,8.830,3.991,1,
g000611,50,63,5.143,8.000,2.520,1.552,0.000,0,100.000,2,5.206,2.703,,
g000612,2468,811438,26.655,772.000,657.567,26.654,40.240,0,59.760,16,38.046,28.721,1,
g000613,396,781,0.999,6.000,3.944,0.672,0.000,0,100.000,6,13321.458,33949.591,1,
g000614,880,2438,0.630,117.000,5.541,7.053,9.024,0,90.976,15,21.677,14.364,1,
g000615,1000,2000,0.400,13.000,4.000,1.988,0.000,0,100.000,2,5.480,2.887,1,
g000616,118,160,2.318,4.000,2.712,0.922,0.000,0,100.000,7,645167.637,530112.672,1,
g000617,728,1456,0.550,4.000,4.000,0.000,14.354,0,85.646,15,14.752,9.926,1,1
g000618,126,700,8.889,20.000,11.111,3.143,0.000,0,100.000,1,6.000,0.000,,
g000619,49,67,5.697,4.000,2.735,0.777,0.000,0,100.000,7,1003410.104,853890.002,1,
g000620,100,494,9.980,19.000,9.880,3.011,47.571,0,52.429,2,26.289,14.005,1,
g000621,100,4455,90.000,96.000,89.100,3.051,0.000,0,100.000,2,5.544,2.873,,
g000622,90,400,9.988,16.000,8.889,2.614,47.500,0,52.500,2,25.468,14.454,,
g000623,500,50000,40.080,231.000,200.000,8.637,1.646,0,98.354,16,4.908,2.674,1,
g000624,2067,4134,0.194,4.000,4.000,0.000,0.000,0,100.000,16,0.018,0.017,1,1
g000625,5695,476094,2.936,222.000,167.197,12.673,0.000,0,100.000,16,0.000,0.000,1,
g000626,640,204480,100.000,639.000,639.000,0.000,0.000,0,100.000,3,149.491,61.399,1,
g000627,100,464,9.374,16.000,9.280,2.946,52.586,0,47.414,3,48.093,29.463,,
g000628,2814,404753,10.226,345.000,287.671,16.034,0.000,0,100.000,12,1.539,0.960,1,
g000629,80,632,20.000,26.000,15.800,3.809,0.000,0,100.000,3,151.905,63.898,,
g000630,1599,478939,37.487,661.000,599.048,19.060,0.000,0,100.000,16,0.163,0.163,1,
g000631,320,480,0.940,9.000,3.000,1.746,0.000,0,100.000,3,111.037,33.422,1,
g000632,1000,5916,1.184,136.000,11.832,12.387,0.000,0,100.000,1,1.000,0.000,1,
g000633,1343,2594,0.288,9.000,3.863,0.817,0.000,0,100.000,7,102548.787,303299.494,1,
g000634,320,1845,3.615,22.000,11.531,3.368,0.000,0,100.000,3,120.976,43.799,1,
g000635,330,3360,6.190,28.000,20.364,5.217,4.226,1,94.345,2,30.508,18.999,1,
g000636,50,131,10.694,10.000,5.240,2.205,51.908,0,48.092,2,47.046,28.107,1,
g000637,100,4905,99.091,99.000,98.100,0.995,50.051,0,49.949,2,25.512,14.488,,
g000638,2818,4419,0.111,4.000,3.136,0.709,0.000,0,100.000,2,8.708,3.987,1,
g000639,640,4135,2.022,26.000,12.922,3.596,0.000,0,100.000,3,148.735,61.073,1,
g000640,160,320,2.516,11.000,4.000,1.891,0.000,0,100.000,3,136.238,58.966,1,
g000641,118,188,2.723,4.000,3.186,0.688,0.000,0,100.000,7,746138.287,702028.868,1,
g000642,320,480,0.940,10.000,3.000,1.686,0.000,0,100.000,3,121.688,43.747,1,
g000643,1000,5000,1.001,23.000,10.000,2.934,0.000,0,100.000,2,5.465,2.829,1,
g000644,10000,79778,0.160,32.000,15.956,4.013,0.000,0,100.000,1,2.343,1.253,1,
g000645,852,125244,34.548,336.000,294.000,10.348,0.000,0,100.000,12,7.672,0.502,1,
g000646,3244,1787444,33.981,1157.000,1102.000,16.484,0.000,0,100.000,13,0.692,0.123,1,
g000648,429,702,0.765,4.000,3.273,0.671,0.000,0,100.000,2,8.863,3.986,1,
g000649,2500,62500,2.001,75.000,50.000,6.796,0.000,0,100.000,2,5.500,2.877,1,
g000651,100,2475,50.000,60.000,49.500,4.943,0.000,0,100.000,2,5.550,2.875,,
g000652,21,105,50.000,10.000,10.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000653,160,320,2.516,10.000,4.000,1.946,0.000,0,100.000,3,117.128,39.262,1,
g000654,2528,2432377,76.152,1998.000,1924.349,21.566,0.000,0,100.000,12,19.153,3.975,1,
g000655,34,153,27.273,9.000,9.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000656,197,250,1.295,4.000,2.538,0.864,0.000,0,100.000,3,131.756,98.812,1,
g000657,2686,1034110,28.678,819.000,770.000,13.389,0.000,0,100.000,1,4.000,0.000,1,
g000659,545,64700,43.645,267.000,237.431,11.934,24.066,0,75.934,16,9.200,6.467,1,
g000660,320,480,0.940,10.000,3.000,1.732,0.000,0,100.000,3,104.552,22.775,1,
g000661,931,19110,4.414,930.000,41.053,133.526,0.000,0,100.000,12,2.827,10.926,1,
g000662,80,120,3.797,11.000,3.000,1.597,0.000,0,100.000,3,147.908,57.392,,
g000663,294,568,1.319,5.000,3.864,0.646,0.000,0,100.000,6,15145.937,35808.155,1,
g000664,640,204480,100.000,639.000,639.000,0.000,0.000,0,100.000,3,115.128,38.256,1,
g000666,160,2544,20.000,49.000,31.800,4.623,0.000,0,100.000,3,149.692,60.559,1,
g000667,807,261633,80.448,683.000,648.409,11.821,0.000,0,100.000,12,12.681,4.128,1,
g000668,640,40896,20.000,159.000,127.800,10.094,0.000,0,100.000,3,107.315,27.866,1,
g000669,4714,10293,0.093,215.000,4.367,6.483,13.942,0,86.058,15,13.801,9.474,1,
g000670,2000,4000,0.200,4.000,4.000,0.000,6.700,1,91.750,2,24.782,15.943,1,1
g000671,150,8817,78.899,129.000,117.560,4.734,49.892,0,50.108,2,25.629,14.476,,
g000672,2000,5765,0.288,14.000,5.765,6.015,0.000,0,100.000,6,1676.670,4522.593,1,
g000673,640,204480,100.000,639.000,639.000,0.000,0.000,0,100.000,3,149.492,61.385,1,
g000674,660,26815,12.330,108.000,81.258,8.270,0.000,0,100.000,12,21.092,6.015,1,
g000675,50,763,62.286,38.000,30.520,3.226,46.920,0,53.080,2,25.241,14.098,,
g000676,640,1280,0.626,13.000,4.000,2.012,0.000,0,100.000,3,150.314,62.044,1,
g000677,17127,27352,0.019,4.000,3.194,0.647,0.000,0,100.000,3,19.709,14.689,1,
g000678,250,4100,13.173,54.000,32.800,10.019,0.000,0,100.000,13,6.031,3.478,1,
g000680,320,10208,20.000,83.000,63.800,7.341,0.000,0,100.000,3,104.286,22.040,1,
g000681,80,3160,100.000,79.000,79.000,0.000,0.000,0,100.000,3,139.454,56.343,1,
g000682,640,960,0.469,12.000,3.000,1.752,0.000,0,100.000,3,102.611,18.098,1,
g000683,5416,8042454,54.846,3096.000,2969.887,36.601,10.456,0,89.544,16,34.931,23.477,1,
g000684,500,1000,0.802,13.000,4.000,1.946,0.000,0,100.000,2,5.550,2.785,1,
g000686,450,16680,16.511,139.000,74.133,21.236,0.000,0,100.000,1,1.000,0.000,1,
g000687,981,124435,25.887,293.000,253.690,13.113,5.396,0,94.604,16,41.737,26.427,1,
g000688,710,35868,14.251,133.000,101.037,9.602,0.000,0,100.000,12,57.845,18.665,1,
g000689,6995,18418379,75.295,5415.000,5266.156,35.507,0.000,0,100.000,1,1.000,0.000,1,
g000690,320,640,1.254,13.000,4.000,1.862,0.000,0,100.000,3,151.378,63.930,1,
g000692,100,495,10.000,17.000,9.900,3.061,49.091,0,50.909,1,1.000,0.000,,
g000693,125,375,4.839,6.000,6.000,0.000,49.867,0,50.133,1,1.000,0.000,,
g000694,544,63788,43.189,515.000,234.515,87.683,0.000,0,100.000,12,23.442,6.884,1,
g000695,2433,240867,8.141,235.000,198.000,9.692,0.000,0,100.000,13,0.588,0.116,1,
g000696,160,12720,100.000,159.000,159.000,0.000,0.000,0,100.000,3,114.526,37.521,1,
g000697,739,957,0.351,49.000,2.590,3.440,0.000,0,100.000,12,17.434,2.405,1,
g000700,945,222532,49.891,493.000,470.967,6.905,36.899,0,63.101,16,7.199,4.592,1,
g000701,501,87070,69.517,378.000,347.585,10.383,0.000,0,100.000,12,1.395,0.581,1,
g000702,178,251,1.593,4.000,2.820,0.794,0.000,0,100.000,7,504676.163,382632.306,1,
g000703,160,812,6.384,19.000,10.150,2.842,0.000,0,100.000,3,108.374,29.401,1,
g000705,450,17343,17.167,179.000,77.080,29.175,0.000,0,100.000,1,1.000,0.000,1,
g000706,659,11203,5.167,34.000,34.000,0.000,89.342,0,10.658,1,1.000,0.000,,
g000707,1000,3000,0.601,6.000,6.000,0.000,50.000,0,50.000,1,1.000,0.000,1,
g000708,1026,232708,44.256,547.000,453.622,26.689,0.000,0,100.000,12,1.532,0.955,1,
g000709,1199,2078,0.289,4.000,3.466,0.625,0.000,0,100.000,2,8.927,3.995,1,
g000710,122,194,2.628,4.000,3.180,0.736,0.000,0,100.000,2,8.753,3.957,1,
g000711,150,3227,28.877,58.000,43.027,5.459,48.218,0,51.782,2,25.238,14.457,,
g000712,640,1280,0.626,13.000,4.000,1.984,0.000,0,100.000,3,107.709,28.223,1,
g000713,75,94,3.387,7.000,2.507,1.561,0.000,0,100.000,2,5.330,2.826,1,
g000714,500,12500,10.020,69.000,50.000,6.460,0.000,0,100.000,2,5.504,2.846,1,
g000715,665,97655,44.232,326.000,293.699,12.102,0.000,0,100.000,12,15.578,1.210,1,
g000716,1000,8067,1.615,28.000,16.134,3.973,0.000,0,100.000,1,2.352,1.241,1,
g000717,206,3540,16.765,140.000,34.369,36.385,0.000,0,100.000,1,1.000,0.000,,
g000718,853,141373,38.905,683.000,331.472,128.382,0.000,0,100.000,12,1.382,0.560,1,
g000719,862,178192,48.018,787.000,413.439,160.777,18.254,0,81.746,16,15.455,10.881,1,
g000720,100,4455,90.000,95.000,89.100,2.924,0.000,0,100.000,2,5.475,2.869,,
g000721,1442,2403,0.231,4.000,3.333,0.634,0.000,0,100.000,2,8.882,3.994,1,
g000722,70,720,29.814,35.000,20.571,4.622,48.472,0,51.528,2,25.506,14.277,,
g000723,200,19900,100.000,199.000,199.000,0.000,45.739,8,45.869,6,707.899,6638.511,1,
g000724,80,3160,100.000,79.000,79.000,0.000,0.000,0,100.000,3,114.553,37.222,1,
g000725,510,13496,10.398,509.000,52.925,106.691,0.000,0,100.000,13,0.691,0.123,1,
g000727,3647,1509858,22.710,882.000,828.000,16.112,64.193,0,35.807,1,1.000,0.000,,
g000728,6754,5639328,24.729,4105.000,1669.922,707.674,2.162,2,95.660,2,21.540,13.201,1,
g000729,142,181,1.808,4.000,2.549,0.852,0.000,0,100.000,7,560436.238,418174.904,1,
g000730,640,204480,100.000,639.000,639.000,0.000,0.000,0,100.000,3,149.492,61.385,1,
g000731,6114,6707058,35.891,2262.000,2194.000,16.134,0.000,0,100.000,1,1.000,0.000,,
g000732,3034,6068,0.132,4.000,4.000,0.000,84.492,0,15.508,1,1.000,0.000,1,1
g000733,810,63815,19.477,592.000,157.568,82.234,0.000,0,100.000,14,0.413,0.116,1,
g000734,2076,4072,0.189,64.000,3.923,1.461,0.000,0,100.000,7,85465.986,279530.261,1,
g000735,57,83,5.201,4.000,2.912,0.864,0.000,0,100.000,7,702435.313,596862.486,1,
g000736,4255,5829350,64.410,2740.000,2740.000,0.000,96.394,0,3.606,1,1.000,0.000,,
g000737,83,96,2.821,4.000,2.313,0.820,0.000,0,100.000,7,693158.500,489810.221,1,
g000738,3236,648768,12.395,785.000,400.969,254.592,12.295,0,87.705,16,14.276,11.551,1,
g000739,1400,11100,1.133,30.000,15.857,3.971,0.000,0,100.000,1,2.346,1.243,1,
g000740,585,74000,43.320,494.000,252.991,91.685,0.182,0,99.818,15,29.019,11.181,1,
g000741,1119,2251,0.360,14.000,4.023,1.013,0.000,0,100.000,6,10177.066,30221.254,1,
g000742,188,3885,22.101,156.000,41.330,31.136,0.000,0,100.000,1,1.000,0.000,,
g000743,320,51040,100.000,319.000,319.000,0.000,0.000,0,100.000,3,120.775,43.796,1,
g000744,70,2388,98.882,69.000,68.229,0.814,100.000,0,0.000,3,50.929,28.600,,
g000745,800,4694,1.469,132.000,11.735,11.535,0.000,0,100.000,1,1.000,0.000,1,
g000746,157,226,1.846,4.000,2.879,0.662,0.000,0,100.000,7,631048.190,481588.313,1,
g000747,3244,403108,7.663,531.000,248.525,171.191,0.000,0,100.000,16,0.079,0.079,1,
g000748,80,632,20.000,23.000,15.800,3.187,0.000,0,100.000,3,138.612,54.102,1,
g000749,730,110518,41.535,338.000,302.789,12.717,10.599,0,89.401,16,19.353,12.270,1,
g000750,30,57,13.103,9.000,3.800,1.904,0.000,0,100.000,1,1.000,0.000,1,
g000751,160,2544,20.000,45.000,31.800,5.297,0.000,0,100.000,3,115.570,39.130,,
g000752,8017,14753,0.046,4.000,3.680,0.476,0.000,0,100.000,3,58.291,43.857,1,
g000753,100,4455,90.000,95.000,89.100,2.924,46.420,4,49.024,2,5.292,3.040,,
g000754,80,3128,98.987,79.000,78.200,0.927,51.279,0,48.721,1,1.000,0.000,,
g000755,661,64117,29.394,222.000,194.000,9.070,31.620,0,68.380,16,31.431,23.557,1,
g000757,200,15771,79.251,174.000,157.710,5.500,49.420,0,50.580,2,25.617,14.464,,
g000758,75,150,5.405,10.000,4.000,1.953,0.000,0,100.000,2,5.693,2.508,1,
g000759,640,40896,20.000,158.000,127.800,9.943,0.000,0,100.000,3,149.192,60.994,1,
g000760,132,230,2.660,5.000,3.485,0.900,0.000,0,100.000,4,225.922,412.211,1,
g000761,21,90,42.857,10.000,8.571,2.259,0.000,0,100.000,12,47.960,23.091,,
g000762,250,31125,100.000,249.000,249.000,0.000,42.811,14,42.400,6,597.474,6385.683,1,
g000763,320,10208,20.000,92.000,63.800,6.955,0.000,0,100.000,3,149.498,61.598,1,
g000764,4370,632131,6.622,351.000,289.305,16.529,0.000,0,100.000,12,45.864,10.929,1,
g000765,80,350,11.076,19.000,8.750,2.591,0.000,0,100.000,3,148.349,60.922,1,
g000766,1055,1473,0.265,4.000,2.792,0.764,0.000,0,100.000,5,381.038,659.650,1,
g000767,2101,3018,0.137,105.000,2.873,4.243,0.000,0,100.000,2,32.186,15.853,1,
g000769,320,640,1.254,10.000,4.000,1.815,0.000,0,100.000,3,109.952,31.148,1,
g000770,3375,10125,0.178,6.000,6.000,0.000,50.281,0,49.719,6,80178.903,60677.419,1,
g000771,4053,5447232,66.338,2688.000,2688.000,0.000,0.000,0,100.000,16,17.862,11.147,1,
g000772,320,10208,20.000,89.000,63.800,7.342,0.000,0,100.000,3,121.309,44.573,1,
g000773,50,124,10.122,12.000,4.960,1.928,44.355,0,55.645,2,49.887,26.634,1,
g000774,388,8406,11.196,60.000,43.330,5.988,0.000,0,100.000,13,0.769,0.112,1,
g000775,10553,20066,0.036,4.000,3.803,0.418,0.000,0,100.000,2,8.988,3.999,1,
g000776,27,135,38.462,10.000,10.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000777,5021,9055,0.072,4.000,3.607,0.573,0.000,0,100.000,2,8.841,3.996,1,
g000778,40,240,30.769,12.000,12.000,0.000,0.000,0,100.000,1,1.000,0.000,,
